0,1,2,3,4,5,6
Displaying buildings 1 - 46 of 46,,Displaying buildings 1 - 46 of 46,,,,
,Displaying buildings 1 - 46 of 46,,,,,
,,,,,,
801720,2019,"5 ADELAIDE ST
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING B
NON-EVICT COOP/CONDO (EFFECTIVE 01/03/1986)",
628204,2006,"27 TO 33 ATLANTIC AVE
FLORAL PARK, NY",11001,NASSAU,MULTIPLE DWELLING A,
628302,2006,"35 TO 39 ATLANTIC AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
SINGLE ROOM OCCUPANCY",
628415,2018,"43 ATLANTIC AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
421-A",
807891,2020,"26 CARNATION AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",
807893,2020,"30 CARNATION AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",
807892,2020,"34 CARNATION AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",
805641,1987,"1 CHILDS AVE
FLORAL PARK, NY",11001,NASSAU,GARDEN APARTMENT COMPLEX,
628031,2010,"15 CHILDS AVE
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",[Additional Addresses]
808084,1995,"33 TO 53 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/11/1986)",
808085,2013,"35 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 01/01/1986)",
805165,2006,"37 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 10/01/1986)",
805176,1988,"39 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/11/1986)",
805163,1997,"41 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/11/1986)",
805167,1999,"43 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/01/1986)",
805177,1999,"45 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/01/1986)",
805178,1998,"47 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX
NON-EVICT COOP/CONDO (EFFECTIVE 12/01/1986)",
628031,2010,"53 FLORAL BLVD
FLORAL PARK, NY",11001,NASSAU,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",[Additional Addresses]
628079,2010,"18 IRIS AVE
FLORAL PARK, NY",11001,NASSAU,MULTIPLE DWELLING A,
913850,2019,"87-15 TO 87-45 LITTLE NECK PKWY
FLORAL PARK, NY",11001,QUEENS,"MULTIPLE DWELLING A
GARDEN APARTMENT COMPLEX",[Additional Addresses]
